field_id,form_id,field_code,field_label,field_type,section_name,is_required,field_order,explanation,example_value,validation_pattern,min_length,max_length
1,1,ITR1_NAME,Full Name,text,Personal Information,1,1,Enter your full legal name as per PAN and Aadhaar,Rajesh Kumar Singh,^[A-Za-z\s]{1,100}$,3,100
2,1,ITR1_PAN,Permanent Account Number,text,Personal Information,1,2,Your 10-character PAN issued by Income Tax Department,ABCDE1234F,^[A-Z]{5}[0-9]{4}[A-Z]{1}$,10,10
3,1,ITR1_DOB,Date of Birth,date,Personal Information,1,3,Date of birth in DD/MM/YYYY format,15/06/1985,^\d{2}/\d{2}/\d{4}$,10,10
4,1,ITR1_GENDER,Gender,dropdown,Personal Information,1,4,Select your gender,Male,NULL,NULL,NULL
5,1,ITR1_ADDRESS,Residential Address,textarea,Personal Information,1,5,Complete address where you currently reside,123 Main Street Bangalore,NULL,10,300
6,1,ITR1_INCOME,Total Income,number,Income Details,1,6,Total gross income for the financial year in rupees,500000,^\d+$,1,10
7,1,ITR1_TAX_PAID,Tax Paid,number,Income Details,0,7,Total tax already paid via TDS or advance tax,25000,^\d+$,1,10
8,1,ITR1_REFUND,Refund Due,number,Income Details,0,8,Expected refund amount (if applicable),NULL,^\d+$,1,10
9,2,PAN_NAME,Full Name,text,Personal Information,1,1,Enter your full legal name exactly as per identity document,Priya Sharma,^[A-Za-z\s]{1,100}$,3,100
10,2,PAN_DOB,Date of Birth,date,Personal Information,1,2,Date of birth in DD/MM/YYYY format,22/03/1990,^\d{2}/\d{2}/\d{4}$,10,10
11,2,PAN_FATHER,Father's Name,text,Personal Information,1,3,Enter father's full name,Vikram Sharma,^[A-Za-z\s]{1,100}$,3,100
12,2,PAN_GENDER,Gender,dropdown,Personal Information,1,4,Select your gender,Female,NULL,NULL,NULL
13,2,PAN_CATEGORY,Category,dropdown,Personal Information,1,5,Select applicant category (Individual/HUF/Company etc),Individual,NULL,NULL,NULL
14,2,PAN_ADDRESS,Address,textarea,Personal Information,1,6,Residential address,456 Oak Lane Delhi,NULL,10,300
15,2,PAN_EMAIL,Email Address,email,Contact Information,0,7,Valid email address for communication,priya.sharma@email.com,^[^\s@]+@[^\s@]+\.[^\s@]+$,5,100
16,2,PAN_PHONE,Phone Number,phone,Contact Information,0,8,Mobile number with 10 digits,9876543210,^[0-9]{10}$,10,10
17,3,GST_NAME,Business Name,text,Business Details,1,1,Legal name of your business entity,Tech Solutions Pvt Ltd,^[A-Za-z0-9\s]{1,100}$,3,100
18,3,GST_TURNOVER,Business Turnover,number,Business Details,1,2,Annual business turnover in rupees,5000000,^\d+$,1,15
19,3,GST_PAN,Business PAN,text,Business Details,1,3,PAN of business entity,ABCDE1234F,^[A-Z]{5}[0-9]{4}[A-Z]{1}$,10,10
20,3,GST_ADDRESS,Business Address,textarea,Business Details,1,4,Full address of business premises,123 Business Park Mumbai,NULL,10,300
21,3,GST_STATE,State,dropdown,Business Details,1,5,State where business is located,Maharashtra,NULL,NULL,NULL
