mistake_id,form_id,field_id,mistake,explanation,severity,prevention_tip
1,1,1,Name not matching PAN,Applicants write name differently than on PAN which causes rejection,HIGH,Always use exact name from PAN document - match case and spelling
2,1,2,Invalid PAN format,Writing PAN without proper format (5 letters + 4 numbers + 1 letter),HIGH,PAN format is always ABCDE1234F - verify all 10 characters
3,1,3,Wrong date format,Writing date in different format than DD/MM/YYYY,HIGH,Always use DD/MM/YYYY format - 15/06/1985 not 1985-06-15
4,1,6,Reporting wrong income,Reporting income from different financial year,HIGH,Check financial year - always report income from April to March
5,2,9,Father name blank,Leaving father's name field empty,HIGH,Father's name is mandatory - write complete legal name
6,2,15,Invalid email format,Writing email without @ or with multiple @ symbols,MEDIUM,Email format: name@domain.com - check for @ and single domain
7,3,17,Incomplete business name,Writing short business name without legal entity designation,HIGH,Use full legal name - include Ltd/Pvt Ltd/Partnership as applicable
8,3,18,Underreporting turnover,Reporting lower turnover to avoid taxes,HIGH,Report actual turnover from sales books - GST wants accurate data
9,3,19,Using personal PAN instead of business PAN,Filing GST with personal PAN instead of business entity PAN,HIGH,Use only business entity PAN - personal PAN is incorrect
10,4,23,Nickname instead of legal name,Writing nickname instead of name from legal documents,HIGH,Use name exactly as in birth certificate or school certificate
11,4,28,Adding country code to phone,Writing +91 or 0 before 10-digit number,HIGH,Write only 10 digits - system adds country code automatically
12,5,31,Applicant age too young,Applying for passport before turning 18,HIGH,Minimum age is 18 - wait until birthday or use minor passport process
13,5,35,Invalid mobile format,Writing mobile with dashes or spaces,HIGH,Enter 10 digits continuously without any special characters
14,6,39,Age miscalculation,Applying with age less than required minimum,HIGH,Minimum age for DL is 18 - check birth certificate before applying
15,7,45,Age proof missing,Not attaching birth certificate,HIGH,Birth certificate is mandatory - scan and attach certified copy
16,8,52,Wrong occupation category,Selecting wrong occupation type,MEDIUM,Select occupation that matches main income source - not secondary job
17,9,60,PAN number typo,Writing wrong PAN with transposed digits,HIGH,Double-check PAN - compare with document character by character
18,10,64,Old employer PF number,Using old employer's PF account number instead of personal ID,HIGH,Use your member ID - format is ABC/1234567/00001234
19,11,70,Incomplete claim number,Writing incomplete ESI number,HIGH,ESI number is always 8 digits - no space or dash
20,12,79,Inflated marks,Reporting higher marks than actual achievement,HIGH,Copy marks exactly from mark sheet - institution verifies
21,13,84,Wrong area measurement,Reporting area in different unit than specified,HIGH,Specification clearly states square feet - convert if needed
22,14,91,Understated property value,Reporting lower value for tax purposes,HIGH,Report fair market value - use comparable property prices
23,15,97,Missing leading zeros,Writing short chassis numbers without zeros,HIGH,Chassis number is 17 characters - must have leading zeros if any
24,16,98,Old registration format,Using old vehicle registration format,HIGH,Use current RC format: XX-XX-XX-XXXX (State-Year-Series-Number)
25,17,106,Household income calculation error,Confusing household income with individual income,HIGH,Add ALL family member incomes for 12 months
26,18,111,Wrong Aadhaar entry,Mistyping Aadhaar digits,HIGH,Enter Aadhaar exactly as on card - double-check all 12 digits
27,19,115,Excluding some family members,Not counting all household members,HIGH,List all dependents living in house - include children and elders
28,20,119,Incorrect date of birth,Off-by-one year in birth date,HIGH,Match birth certificate exactly - verify year/month/day
29,21,126,Reporting variable income,Including seasonal or bonus income in monthly average,MEDIUM,Show consistent monthly income - avoid year-end bonus spikes
30,21,127,Requesting excessive loan amount,Asking for more than debt service ratio allows,MEDIUM,Most banks limit to 50-60% of monthly income
31,22,133,Outdated address proof,Using old utility bill more than 3 months old,HIGH,Use recent address proof - from last 3 months only
32,23,135,Incomplete trading account opening,Not linking bank account for trading,HIGH,Bank account linkage is mandatory - complete it before first trade
33,24,140,Using business name for personal investment,Writing company name in personal mutual fund form,HIGH,Use personal name - mutual funds are held individually
34,25,146,Wrong date of birth,Mismatching date with identity documents,HIGH,Use date from official document - Aadhaar/PAN/Passport
35,26,151,Incomplete PF transfer form,Leaving employer details blank,HIGH,Provide both old and new employer EPF codes
36,27,153,Applying too early,Claiming settlement before qualifying period ends,HIGH,Minimum 2 years service required for withdrawal
37,28,157,Missing medical certificate,Not attaching maternity confirmation,HIGH,Maternity benefit needs doctor's letter confirming pregnancy
38,29,162,Wrong disability percentage,Misreporting disability severity,HIGH,Medical board assesses percentage - use their report only
39,30,170,Wrong state code,Listing wrong state of residence,MEDIUM,Select current state of domicile - not state of birth
40,31,170,Multiple applications,Filing multiple UPSC applications in same year,HIGH,Only one application allowed per exam session
41,32,170,Wrong category selected,Claiming category not applicable,HIGH,Category must match legal status - SC/ST/OBC with valid certificate
42,33,172,Old/expired passport,Using passport expiring within 6 months,HIGH,Passport must be valid for 6 months beyond travel date
