option_id,field_id,option_code,option_label
1,4,MALE,Male
2,4,FEMALE,Female
3,4,OTHER,Other
4,12,MALE,Male
5,12,FEMALE,Female
6,12,OTHER,Other
7,13,INDIVIDUAL,Individual
8,13,HUF,Hindu Undivided Family
9,13,COMPANY,Company
10,13,PARTNERSHIP,Partnership Firm
11,21,MAHARASHTRA,Maharashtra
12,21,KARNATAKA,Karnataka
13,21,TAMIL_NADU,Tamil Nadu
14,21,UTTAR_PRADESH,Uttar Pradesh
15,21,DELHI,Delhi
16,22,MANUFACTURING,Manufacturing
17,22,RETAIL,Retail Trade
18,22,SERVICES,Services
19,22,TRADING,Trading
20,22,CONSTRUCTION,Construction
21,26,MALE,Male
22,26,FEMALE,Female
23,26,OTHER,Other
24,27,MAHARASHTRA,Maharashtra
25,27,KARNATAKA,Karnataka
26,27,TAMIL_NADU,Tamil Nadu
27,27,TELANGANA,Telangana
28,27,RAJASTHAN,Rajasthan
29,29,SERVICE,Service
30,29,BUSINESS,Business
31,29,AGRICULTURE,Agriculture
32,29,PROFESSIONAL,Professional
33,29,STUDENT,Student
34,32,TOURISM,Tourism
35,32,BUSINESS,Business
36,32,EMPLOYMENT,Employment
37,32,EDUCATION,Education
38,32,MEDICAL,Medical
39,32,VISITING_FAMILY,Visiting Family
40,41,LIGHT_MOTOR_VEHICLE,Light Motor Vehicle
41,41,HEAVY_MOTOR_VEHICLE,Heavy Motor Vehicle
42,41,TRANSPORT_VEHICLE,Transport Vehicle
43,41,COMMERCIAL_VEHICLE,Commercial Vehicle
44,42,TWO_WHEELER,Two Wheeler
45,42,THREE_WHEELER,Three Wheeler
46,42,FOUR_WHEELER,Four Wheeler
47,42,HEAVY_VEHICLE,Heavy Vehicle
48,47,GENERAL,General
49,47,OBC,OBC
50,47,SC,SC
51,47,ST,ST
52,47,EWS,EWS
53,57,SAVINGS,Savings Account
54,57,CURRENT,Current Account
55,57,SALARY,Salary Account
56,57,RECURRING,Recurring Deposit
57,67,MANUFACTURING,Manufacturing
58,67,RETAIL,Retail
59,67,SERVICES,Services
60,67,TRADING,Trading
61,67,CONSTRUCTION,Construction
62,72,MALE,Male
63,72,FEMALE,Female
64,72,OTHER,Other
65,73,MEDICAL,Medical
66,73,DISABILITY,Disability
67,73,CASH_BENEFIT,Cash Benefit
68,73,TEMPORARY,Temporary Disability
69,77,11TH,11th
70,77,12TH,12th
71,77,GRADUATION,Graduation
72,77,POST_GRADUATION,Post Graduation
73,82,RESIDENTIAL,Residential
74,82,COMMERCIAL,Commercial
75,82,AGRICULTURAL,Agricultural
76,82,INDUSTRIAL,Industrial
77,90,PURCHASE_SALE,Purchase/Sale
78,90,INHERITANCE,Inheritance
79,90,GIFT_DEED,Gift Deed
80,90,FAMILY_PARTITION,Family Partition
81,94,TWO_WHEELER,Two Wheeler
82,94,FOUR_WHEELER,Four Wheeler
83,94,HEAVY_VEHICLE,Heavy Vehicle
84,94,THREE_WHEELER,Three Wheeler
85,117,BPL,Below Poverty Line (BPL)
86,117,APL,Above Poverty Line (APL)
87,117,AAY,Antyodaya Anna Yojana (AAY)
88,117,PDS,Public Distribution System
89,125,SERVICE,Service
90,125,BUSINESS,Business
91,125,AGRICULTURE,Agriculture
92,125,PROFESSIONAL,Professional
93,125,SELF_EMPLOYED,Self Employed
94,137,GENERAL,General
95,137,OBC,OBC
96,137,SC,SC
97,137,ST,ST
98,143,EQUITY,Equity Fund
99,143,DEBT,Debt Fund
100,143,BALANCED,Balanced Fund
101,143,LIQUID,Liquid Fund
102,143,GOLD,Gold Fund
103,144,TIER_1,Tier I
104,144,TIER_2,Tier II
105,163,PHYSICAL,Physical Disability
106,163,VISUAL,Visual Impairment
107,163,HEARING,Hearing Impairment
108,163,MENTAL,Mental Disability
109,163,INTELLECTUAL,Intellectual Disability
110,168,10TH,Class 10
111,168,12TH,Class 12
112,168,GRADUATION,Graduation
113,168,POST_GRADUATION,Post Graduation
114,168,TECHNICAL,Technical Degree
115,169,GENERAL,General
116,169,OBC,OBC
117,169,SC,SC
118,169,ST,ST
119,169,EWS,EWS
120,170,ANDHRA_PRADESH,Andhra Pradesh
121,170,ARUNACHAL_PRADESH,Arunachal Pradesh
122,170,ASSAM,Assam
123,170,BIHAR,Bihar
124,170,CHHATTISGARH,Chhattisgarh
125,170,GOA,Goa
126,170,GUJARAT,Gujarat
127,170,HARYANA,Haryana
128,170,HIMACHAL_PRADESH,Himachal Pradesh
129,170,JHARKHAND,Jharkhand
130,170,KARNATAKA,Karnataka
131,170,KERALA,Kerala
132,170,MADHYA_PRADESH,Madhya Pradesh
133,170,MAHARASHTRA,Maharashtra
134,170,MANIPUR,Manipur
135,170,MEGHALAYA,Meghalaya
136,170,MIZORAM,Mizoram
137,170,NAGALAND,Nagaland
138,170,ODISHA,Odisha
139,170,PUNJAB,Punjab
140,170,RAJASTHAN,Rajasthan
141,170,SIKKIM,Sikkim
142,170,TAMIL_NADU,Tamil Nadu
143,170,TELANGANA,Telangana
144,170,TRIPURA,Tripura
145,170,UTTAR_PRADESH,Uttar Pradesh
146,170,UTTARAKHAND,Uttarakhand
147,170,WEST_BENGAL,West Bengal
148,170,DELHI,Delhi
149,170,PUDUCHERRY,Puducherry
150,170,CHANDIGARH,Chandigarh
151,170,LADAKH,Ladakh
152,170,JAMMU_KASHMIR,Jammu & Kashmir
