source_id,form_id,source_type,source_name,source_url,retrieved_date,verified_date,source_version
1,1,OFFICIAL_WEBSITE,Income Tax Department - Form ITR-1,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
2,1,OFFICIAL_GUIDELINE,ITR-1 Sahaj Form Instructions,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
3,2,OFFICIAL_WEBSITE,Income Tax Department - Form 49AA (PAN),https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
4,2,OFFICIAL_GUIDELINE,PAN Application Guidelines,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
5,3,OFFICIAL_WEBSITE,GSTN - GST Registration Form REG-01,https://www.gst.gov.in,2024-01-20,2024-01-20,2024
6,3,OFFICIAL_GUIDELINE,GST Registration Guidelines,https://www.gst.gov.in,2024-01-20,2024-01-20,2024
7,4,OFFICIAL_WEBSITE,UIDAI - Aadhaar Enrollment Form,https://www.uidai.gov.in,2024-01-20,2024-01-20,2024
8,4,OFFICIAL_GUIDELINE,Aadhaar Enrollment Process Guide,https://www.uidai.gov.in,2024-01-20,2024-01-20,2024
9,5,OFFICIAL_WEBSITE,Passport India - Online Application,https://www.passportindia.gov.in,2024-01-20,2024-01-20,2024
10,5,OFFICIAL_GUIDELINE,Passport Application Instructions,https://www.passportindia.gov.in,2024-01-20,2024-01-20,2024
11,6,OFFICIAL_WEBSITE,Ministry of Road Transport - DL Form 4,https://parivahan.gov.in,2024-01-15,2024-01-15,2024
12,6,OFFICIAL_GUIDELINE,Driving License Application Guide,https://parivahan.gov.in,2024-01-15,2024-01-15,2024
13,7,OFFICIAL_WEBSITE,Election Commission - Voter Registration Form 6,https://www.eci.gov.in,2024-01-20,2024-01-20,2024
14,7,OFFICIAL_GUIDELINE,Voter Enrollment Instructions,https://www.eci.gov.in,2024-01-20,2024-01-20,2024
15,8,OFFICIAL_WEBSITE,RBI - Bank Account Opening Instructions,https://www.rbi.org.in,2024-01-15,2024-01-15,2024
16,8,OFFICIAL_GUIDELINE,KYC and Account Opening Guidelines,https://www.rbi.org.in,2024-01-15,2024-01-15,2024
17,9,OFFICIAL_WEBSITE,EPFO - PF Withdrawal Form,https://www.epfindia.gov.in,2024-01-20,2024-01-20,2024
18,9,OFFICIAL_GUIDELINE,EPF Claim Processing Guidelines,https://www.epfindia.gov.in,2024-01-20,2024-01-20,2024
19,10,OFFICIAL_WEBSITE,EPFO - Employees Pension Scheme,https://www.epfindia.gov.in,2024-01-20,2024-01-20,2024
20,10,OFFICIAL_GUIDELINE,EPS Claim Documentation,https://www.epfindia.gov.in,2024-01-20,2024-01-20,2024
21,11,OFFICIAL_WEBSITE,ESIC - Claim Form ESI-1,https://www.esic.nic.in,2024-01-15,2024-01-15,2024
22,11,OFFICIAL_GUIDELINE,ESI Claim Processing Instructions,https://www.esic.nic.in,2024-01-15,2024-01-15,2024
23,12,OFFICIAL_WEBSITE,National Scholarship Portal - NSP,https://scholarships.gov.in,2024-01-20,2024-01-20,2024
24,12,OFFICIAL_GUIDELINE,Scholarship Application Guidelines,https://scholarships.gov.in,2024-01-20,2024-01-20,2024
25,13,OFFICIAL_WEBSITE,UGC NET Registration,https://ugcnet.nta.ac.in,2024-01-15,2024-01-15,2024
26,13,OFFICIAL_GUIDELINE,UGC NET Eligibility and Guidelines,https://ugcnet.nta.ac.in,2024-01-15,2024-01-15,2024
27,14,OFFICIAL_WEBSITE,State Revenue Department - Property Registration,https://revenuedept.gov.in,2024-01-20,2024-01-20,2024
28,14,OFFICIAL_GUIDELINE,Property Registration Process,https://revenuedept.gov.in,2024-01-20,2024-01-20,2024
29,15,OFFICIAL_WEBSITE,State Revenue - Mutation Application,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
30,15,OFFICIAL_GUIDELINE,Land Mutation Guidelines,https://revenuedept.gov.in,2024-01-15,2024-01-15,2024
31,16,OFFICIAL_WEBSITE,Parivahan - Vehicle Registration Form 20,https://parivahan.gov.in,2024-01-20,2024-01-20,2024
32,16,OFFICIAL_GUIDELINE,Vehicle Registration Process,https://parivahan.gov.in,2024-01-20,2024-01-20,2024
33,17,OFFICIAL_WEBSITE,Parivahan - Vehicle Transfer Form 8,https://parivahan.gov.in,2024-01-15,2024-01-15,2024
34,17,OFFICIAL_GUIDELINE,Vehicle Transfer Instructions,https://parivahan.gov.in,2024-01-15,2024-01-15,2024
35,18,OFFICIAL_WEBSITE,Ayushman Bharat Portal - PMJAY,https://www.pmjay.gov.in,2024-01-20,2024-01-20,2024
36,18,OFFICIAL_GUIDELINE,Ayushman Bharat Eligibility,https://www.pmjay.gov.in,2024-01-20,2024-01-20,2024
37,19,OFFICIAL_WEBSITE,Ministry of Petroleum - PAHAL Scheme,https://www.pahal.gov.in,2024-01-15,2024-01-15,2024
38,19,OFFICIAL_GUIDELINE,LPG Subsidy Transfer Instructions,https://www.pahal.gov.in,2024-01-15,2024-01-15,2024
39,20,OFFICIAL_WEBSITE,Public Distribution System - Ration Card,https://publicdistribution.gov.in,2024-01-20,2024-01-20,2024
40,20,OFFICIAL_GUIDELINE,Ration Card Application Process,https://publicdistribution.gov.in,2024-01-20,2024-01-20,2024
41,21,OFFICIAL_WEBSITE,Social Welfare Department - Pension,https://www.socialwelfare.gov.in,2024-01-15,2024-01-15,2024
42,21,OFFICIAL_GUIDELINE,Old Age Pension Eligibility,https://www.socialwelfare.gov.in,2024-01-15,2024-01-15,2024
43,22,OFFICIAL_WEBSITE,Income Tax Department - ITR-2,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
44,22,OFFICIAL_GUIDELINE,ITR-2 Form Instructions,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
45,23,OFFICIAL_WEBSITE,Income Tax Department - ITR-3,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
46,23,OFFICIAL_GUIDELINE,ITR-3 Business Income Guidelines,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
47,24,OFFICIAL_WEBSITE,Income Tax Department - ITR-4,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
48,24,OFFICIAL_GUIDELINE,ITR-4 Presumptive Income Form,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
49,25,OFFICIAL_WEBSITE,Income Tax Department - ITR-5,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
50,25,OFFICIAL_GUIDELINE,ITR-5 Partnership Guidelines,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
51,26,OFFICIAL_WEBSITE,Income Tax Department - ITR-6,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
52,26,OFFICIAL_GUIDELINE,ITR-6 Company Return Guidelines,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
53,27,OFFICIAL_WEBSITE,Income Tax Department - Form 49-FA,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
54,27,OFFICIAL_GUIDELINE,Foreign Tax Credit Guidelines,https://www.incometaxindia.gov.in/forms,2024-01-15,2024-01-15,2024
