form_id,form_code,form_name,category,sub_category,authority,country,description,form_url,instructions_url,version,status,last_verified_date
1,PAN-ITR,Income Tax Return (ITR-1),Tax & Finance,Income Tax,Income Tax Department,India,ITR-1 Sahaj - Simplified return for individuals with income up to Rs 50 lakh,https://www.incometaxindia.gov.in/forms,https://www.incometaxindia.gov.in/forms,2024,active,2024-01-15
2,PAN-APP,PAN Card Application (Form 49AA),Tax & Finance,PAN Registration,Income Tax Department,India,Application for allotment of Permanent Account Number under PAN scheme,https://www.incometaxindia.gov.in/forms,https://www.incometaxindia.gov.in/forms,2024,active,2024-01-15
3,GST-REG,GST Registration (Form REG-01),Tax & Finance,GST Registration,GST Network (GSTN),India,Application for registration under GST,https://www.gst.gov.in,https://www.gst.gov.in,2024,active,2024-01-20
4,TDS-24Q,TDS Quarterly Return (Form 24Q),Tax & Finance,TDS,Income Tax Department,India,Quarterly return of tax deducted at source on income other than salaries,https://www.incometaxindia.gov.in/forms,https://www.incometaxindia.gov.in/forms,2024,active,2024-01-15
5,AADHAAR-APP,Aadhaar Registration,Identity & Travel,Aadhaar,Unique Identification Authority of India,India,Application for Aadhaar enrollment with demographic and biometric data,https://www.uidai.gov.in,https://www.uidai.gov.in,2024,active,2024-01-20
6,PASSPORT-APP,Passport Application (Form),Identity & Travel,Passport,Passport Seva,India,Application for issuance or renewal of Indian passport,https://www.passportindia.gov.in,https://www.passportindia.gov.in,2024,active,2024-01-20
7,DRIVING-LIC,Driving License Application (Form 4),Identity & Travel,Driving License,Parivahan (Ministry of Road Transport),India,Application for issuance of learning or permanent driving license,https://parivahan.gov.in,https://parivahan.gov.in,2024,active,2024-01-15
8,VOTER-ID,Voter ID Application (Form 6),Identity & Travel,Electoral,Election Commission of India,India,Application for enrollment as a voter,https://www.eci.gov.in,https://www.eci.gov.in,2024,active,2024-01-20
9,BANK-ACCOUNT,Bank Account Opening Form,Banking & Finance,Account Opening,RBI/Individual Banks,India,Application for opening savings or current bank account with KYC,https://www.rbi.org.in,https://www.rbi.org.in,2024,active,2024-01-15
10,KYC-FORM,Know Your Customer (KYC) Form,Banking & Finance,KYC,RBI Regulated Banks,India,Customer identification document collection for banking services,https://www.rbi.org.in,https://www.rbi.org.in,2024,active,2024-01-15
11,EPFO-CLAIM,EPFO Provident Fund Claim (Form 10),Employment & Social,EPFO Withdrawal,Employees' Provident Fund Organization,India,Claim for withdrawal of accumulated PF amount,https://www.epfindia.gov.in,https://www.epfindia.gov.in,2024,active,2024-01-20
12,EPFO-EPS,Employees Pension Scheme Claim (Form 11),Employment & Social,EPFO Pension,Employees' Provident Fund Organization,India,Claim for pension under Employees Pension Scheme,https://www.epfindia.gov.in,https://www.epfindia.gov.in,2024,active,2024-01-20
13,ESI-CLAIM,ESI Claim Form (ESI-1),Employment & Social,ESI Benefits,Employees State Insurance Corporation,India,Claim for medical or cash benefits under ESI scheme,https://www.esic.nic.in,https://www.esic.nic.in,2024,active,2024-01-15
14,SCHOLARSHIP-APP,National Scholarship Portal Application,Education,Scholarship,Ministry of Education,India,Application for merit-based scholarships for students,https://scholarships.gov.in,https://scholarships.gov.in,2024,active,2024-01-20
15,UGC-EXAM,UGC NET Exam Registration,Education,Examination,University Grants Commission,India,Registration for UGC National Eligibility Test,https://ugcnet.nta.ac.in,https://ugcnet.nta.ac.in,2024,active,2024-01-15
16,PROPERTY-REG,Property Registration Form,Property & Land,Registration,State Revenue Department,India,Application for property registration with sub-registrar office,https://revenuedept.gov.in,https://revenuedept.gov.in,2024,active,2024-01-20
17,MUTATED-PROPERTY,Mutation Application (Bhumika),Property & Land,Mutation,State Revenue Department,India,Application for mutation of property ownership records,https://revenuedept.gov.in,https://revenuedept.gov.in,2024,active,2024-01-15
18,VEHICLE-REG,Vehicle Registration Application (Form 20),Property & Land,Vehicle Registration,Parivahan,India,Application for registration of motor vehicles,https://parivahan.gov.in,https://parivahan.gov.in,2024,active,2024-01-20
19,VEHICLE-TRANSFER,Vehicle Transfer Application (Form 8),Property & Land,Vehicle Transfer,Parivahan,India,Application for transfer of motor vehicle ownership,https://parivahan.gov.in,https://parivahan.gov.in,2024,active,2024-01-15
20,AYUSHMAN-CARD,Ayushman Bharat Card Application,Health & Welfare,Health Insurance,Ministry of Labour and Employment,India,Application for Ayushman Bharat health insurance coverage,https://www.pmjay.gov.in,https://www.pmjay.gov.in,2024,active,2024-01-20
21,LPG-SUBSIDY,LPG Subsidy Application (PAHAL),Welfare,Energy Subsidy,Ministry of Petroleum,India,Application for LPG subsidy under PAHAL scheme,https://www.pahal.gov.in,https://www.pahal.gov.in,2024,active,2024-01-15
22,RATION-CARD,Ration Card Application,Welfare,Food Security,State Food & Civil Supplies,India,Application for ration card for grain procurement,https://publicdistribution.gov.in,https://publicdistribution.gov.in,2024,active,2024-01-20
23,PENSION-APP,Old Age Pension Application,Welfare,Social Pension,State Social Welfare,India,Application for old age pension for senior citizens,https://www.socialwelfare.gov.in,https://www.socialwelfare.gov.in,2024,active,2024-01-15
24,ITR-2,Income Tax Return (ITR-2),Tax & Finance,Income Tax,Income Tax Department,India,ITR for individuals and HUFs with income above Rs 50 lakh,https://www.incometaxindia.gov.in/forms,https://www.incometaxindia.gov.in/forms,2024,active,2024-01-15
25,ITR-3,Income Tax Return (ITR-3),Tax & Finance,Income Tax,Income Tax Department,India,ITR for individuals with business/professional income,https://www.incometaxindia.gov.in/forms,https://www.incometaxindia.gov.in/forms,2024,active,2024-01-15
26,ITR-4,Income Tax Return (ITR-4),Tax & Finance,Income Tax,Income Tax Department,India,ITR for individuals with business presumptive income,https://www.incometaxindia.gov.in/forms,https://www.incometaxindia.gov.in/forms,2024,active,2024-01-15
