form_document_id,form_id,document_name,document_type,mandatory,condition,description
1,1,PAN Certificate,Identity,1,All applicants,Permanent Account Number certificate issued by Income Tax Department
2,1,Aadhaar Card,Identity,1,All applicants,12-digit Aadhaar number and card issued by UIDAI
3,1,Passport,Identity,0,If PAN not available,Indian passport for foreign identity proof
4,1,Income Proof,Financial,1,All applicants,Salary slip or income certificate from employer
5,1,Bank Statement,Financial,1,All applicants,Bank account statement for last 6 months
6,1,Investment Documents,Financial,0,If applicable,Proof of investments like bonds/mutual funds
7,2,Birth Certificate,Personal,1,All applicants,Original or certified copy of birth certificate
8,2,Class 10 Certificate,Education,0,If birth cert not available,SSLC or equivalent certificate
9,2,Address Proof,Address,1,All applicants,Utility bill/rent agreement/property deed (not older than 3 months)
10,2,Identity Proof,Identity,1,All applicants,Aadhaar/Voter ID/Driving License
11,2,Police Clearance,Legal,1,All applicants,NOC from local police station
12,2,Photographs,Personal,1,All applicants,4 passport-size colored photographs (4x6 cm)
13,3,PAN Certificate,Identity,1,All applicants,Business entity PAN certificate
14,3,Business License,Business,0,If applicable,Trade license or shop act certificate
15,3,Address Proof,Address,1,All applicants,Property deed or rental agreement for business location
16,3,Bank Account Documents,Financial,1,All applicants,Bank account statement showing business name
17,3,Partnership Deed,Legal,0,If applicable,For partnership business entities
18,3,Memorandum of Association,Legal,0,If applicable,For companies registered under Companies Act
19,4,Identity Proof,Identity,1,All applicants,Aadhaar/Passport/Voter ID/Driving License
20,4,Address Proof,Address,1,All applicants,Utility bill/property deed/rental agreement
21,4,Photograph,Personal,1,All applicants,Colored passport-size photograph (4x6 cm)
22,4,Birth Proof,Personal,0,If available,Birth certificate for proof of residence
23,5,Birth Certificate,Personal,1,All applicants,Full birth certificate (certified copy)
24,5,Proof of Citizenship,Identity,1,All applicants,Existing passport or naturalization certificate
25,5,Address Proof,Address,1,All applicants,Utility bill/property deed showing residential address
26,5,Police Clearance,Legal,1,All applicants,No objection certificate from police
27,5,Photographs,Personal,1,All applicants,4 colored photographs (4x6 cm with white background)
28,5,Marital Status Document,Personal,0,If applicable,Marriage certificate if married
29,6,Birth Certificate,Personal,1,All applicants,Original or certified copy
30,6,Address Proof,Address,1,All applicants,Utility bill/property deed (not older than 3 months)
31,6,Photograph,Personal,1,All applicants,Colored passport-size photograph
32,6,Medical Fitness Certificate,Medical,0,For heavy vehicles,From authorized medical practitioner
33,6,Age Proof,Personal,1,All applicants,Birth certificate or school leaving certificate
34,7,Birth Certificate,Personal,1,All applicants,Original or certified copy
35,7,Citizenship Proof,Identity,1,All applicants,Passport/Aadhaar/Voter ID
36,7,Address Proof,Address,1,All applicants,Utility bill/rental agreement (not older than 3 months)
37,7,Photograph,Personal,1,All applicants,Colored photograph (3.5x4.5 cm)
38,7,Educational Certificate,Education,0,If available,School or college certificate
39,8,PAN Certificate,Identity,1,All applicants,Permanent Account Number certificate
40,8,Business Registration,Business,1,All applicants,Business registration certificate or partnership deed
41,8,Profit Loss Statement,Financial,1,All applicants,Audited profit and loss account for past year
42,8,Bank Statements,Financial,1,All applicants,Bank statements for last 12 months showing business transactions
43,8,Expense Receipts,Financial,0,If claimed,Original receipts for claimed business expenses
44,9,PAN Certificate,Identity,1,All applicants,Permanent Account Number certificate
45,9,Aadhaar Card,Identity,1,All applicants,Aadhaar card or enrollment number
46,9,Address Proof,Address,1,All applicants,Government issued address proof
47,9,Photograph,Personal,1,All applicants,Colored photograph (4x6 cm)
48,10,PF Account Statement,Financial,1,All applicants,Latest PF account balance statement
49,10,Birth Certificate,Personal,1,All applicants,For age verification
50,10,Bank Account Details,Financial,1,All applicants,Account statement showing bank details
51,11,ESI Member ID,Identity,1,All applicants,ESI member identification proof
52,11,Medical Report,Medical,1,All applicants,Medical examination report for claim
53,11,Hospital Bills,Financial,1,For medical claims,Original medical bills and receipts
54,11,Prescription,Medical,0,For medicine claims,Doctor's prescription if claiming medicine
55,12,School/College ID,Education,1,All applicants,Current educational institution identity card
56,12,Mark Sheet,Education,1,All applicants,Previous year academic performance record
57,12,Income Certificate,Financial,1,All applicants,Family income certificate from Tahsildar
58,12,Birth Certificate,Personal,1,All applicants,For age verification
