requirement_id,form_id,requirement_type,requirement_text,severity,condition
1,1,ELIGIBILITY,Must be an Indian resident for tax purposes,HIGH,Applies to all applicants
2,1,ELIGIBILITY,Income above or below taxable limit depending on ITR type,MEDIUM,Varies by ITR form used
3,1,ELIGIBILITY,Must have completed financial year assessment,HIGH,Applies to all filers
4,1,DOCUMENT,Copy of PAN card,HIGH,Mandatory for identification
5,1,DOCUMENT,Proof of income (salary slip, bank statement),HIGH,Mandatory for verification
6,1,CONDITION,Filing must be done within due date (31st July),HIGH,Extension available in special cases
7,2,ELIGIBILITY,Indian resident or person of Indian origin,HIGH,For passport application
8,2,ELIGIBILITY,Must be at least 21 years old OR parents must apply,HIGH,For passport issuance
9,2,DOCUMENT,Birth certificate or school leaving certificate,HIGH,Mandatory for age proof
10,2,DOCUMENT,Identity proof (Aadhaar/Passport/Voter ID),HIGH,Mandatory for identification
11,2,DOCUMENT,Address proof (Utility bill/Rent agreement),HIGH,Mandatory for address verification
12,2,DOCUMENT,Police verification clearance,HIGH,Mandatory for security clearance
13,3,ELIGIBILITY,Business turnover above Rs 20 lakhs in previous FY,MEDIUM,Threshold for GST registration
14,3,ELIGIBILITY,Indian business entity with PAN,HIGH,Mandatory requirement
15,3,DOCUMENT,PAN certificate of business entity,HIGH,Mandatory identification
16,3,DOCUMENT,Address proof of business premises,HIGH,Mandatory verification
17,3,DOCUMENT,Bank account details for business,HIGH,For refund and payment processing
18,4,ELIGIBILITY,Must be born in India or reside in India,HIGH,For Aadhaar enrollment
19,4,ELIGIBILITY,Any age - infants to elderly eligible,MEDIUM,All age groups covered
20,4,DOCUMENT,Proof of identity (any government ID),HIGH,Mandatory for verification
21,4,DOCUMENT,Proof of address,HIGH,Mandatory for address registration
22,4,DOCUMENT,Proof of relationship (for minors),MEDIUM,Required only for children below 5 years
23,5,ELIGIBILITY,Indian citizen or person of Indian origin abroad,HIGH,For OCI application
24,5,ELIGIBILITY,Minor applicant must have parental consent,HIGH,For minors below 18 years
25,5,DOCUMENT,Full birth certificate (not short form),HIGH,Mandatory for age proof
26,5,DOCUMENT,Proof of Indian citizenship,HIGH,Mandatory requirement
27,5,DOCUMENT,Proof of address,HIGH,Mandatory for residential verification
28,5,DOCUMENT,Police clearance certificate,HIGH,Mandatory security check
29,6,ELIGIBILITY,Must be 18 years or above,HIGH,Legal age requirement
30,6,DOCUMENT,Age proof (Birth certificate/School certificate),HIGH,Mandatory for age verification
31,6,DOCUMENT,Residential address proof,HIGH,Mandatory requirement
32,6,DOCUMENT,Passport size photographs,HIGH,4x6 cm specification
33,6,DOCUMENT,Medical fitness certificate,MEDIUM,For heavy motor vehicle class
